volt,photo,cap,
0.1,0.329,762.58,
0.2,0.33,762.87,
0.3,0.332,762.9,
0.4,0.332,763.27,
0.5,0.332,763.4,
0.6,0.332,764.1,
0.7,0.332,765.6,
0.8,0.329,770.2,
0.9,0.303,791.8,
1,0.217,849.8,
1.1,0.114,923.2,
1.2,0.0267,995.5,nF
1.3,0.0053,1063.8,1.0638
1.4,0.0656,1125.7,1.1257
1.5,0.138,1181.5,1.1815
1.6,0.205,1230.6,1.2306
1.7,0.2709,1274.1,1.2741
1.8,0.327,1312,1.312
1.9,0.359,1345.5,1.3455
2,0.362,1374.6,1.3746
3,0.181,1541.4,1.5414
4,0.116,1616.5,1.6165
5,0.083,1661.2,1.6612
6,0.063,1691,1.691
7,0.05,1712.2,1.7122
8,0.0404,1728,1.728
9,0.0348,1740.1,1.7401
10,0.0298,1749.8,1.7498
11,0.0256,1757.7,1.7577
12,0.023,1764.3,1.7643
13,0.02,1769.9,1.7699
14,0.018,1774.6,1.7746
15,0.0164,1778.8,1.7788
