volt,photo,cap
0.1,0.226,802
0.2,0.225,802.2
0.3,0.224,802.9
0.4,0.223,802
0.5,0.222,803
0.6,0.22,804
0.7,0.215,807
0.8,0.195,820
0.9,0.118,876
1,0.0305,958
1.1,0.0046,1041.8
1.2,0.0689,1116.4
1.3,0.185,1182
1.4,0.255,1238
1.5,0.314,1285.9
1.6,0.348,1326.2
1.7,0.356,1361
1.8,0.342,1390.6
1.9,0.314,1416.4
2,0.284,1438.7
2.1,0.255,1458.6
2.2,0.229,1476
2.3,0.208,1491.6
2.4,0.188,1505.4
2.5,0.17,1518.2
3,0.118,1568.1
4,0.068,1629.6
5,0.0468,1666.6
6,0.035,1691.3
7,0.0281,1708.8
8,0.0233,1721.9
9,0.02,1731.9
10,0.0172,1740
11,0.0154,1746.5
12,0.0137,1752.1
13,0.0123,1756.7
14,0.0108,1760.8
15,0.01008,1764.4
,,0
,,0
,,0
