,Input Frequency ,Output Capacitance (0.5 V)
0,0.1,7.55541e-10
1,0.2,7.55831e-10
2,0.30000000000000004,7.55866e-10
3,0.4,7.56273e-10
4,0.5,7.56508e-10
5,0.6,7.57047e-10
6,0.7000000000000001,7.58026e-10
7,0.8,7.60323e-10
8,0.9,7.67823e-10
9,1.0,8.00787e-10
10,1.1,8.75982e-10
11,1.2000000000000002,9.55828e-10
12,1.3000000000000003,1.02851e-09
13,1.4000000000000001,1.09281e-09
14,1.5000000000000002,1.14945e-09
15,1.6,1.20206e-09
16,1.7000000000000002,1.24247e-09
17,1.8000000000000003,1.28067e-09
18,1.9000000000000001,1.31382e-09
19,2.0,1.34289e-09
20,2.1,1.36904e-09
21,2.2,1.39124e-09
22,2.3000000000000003,1.41134e-09
23,2.4000000000000004,1.42956e-09
24,2.5000000000000004,1.44565e-09
25,2.6,1.46029e-09
26,2.7,1.47359e-09
27,2.8000000000000003,1.48594e-09
28,2.9000000000000004,1.49704e-09
29,3.0000000000000004,1.50739e-09
30,3.1,1.5169e-09
31,3.2,1.52576e-09
32,3.3000000000000003,1.53418e-09
33,3.4000000000000004,1.54194e-09
34,3.5000000000000004,1.54923e-09
35,3.6,1.55609e-09
36,3.7,1.56262e-09
37,3.8000000000000003,1.56876e-09
38,3.9000000000000004,1.57452e-09
39,4.0,1.58e-09
40,4.1,1.58534e-09
41,4.2,1.59029e-09
42,4.3,1.59503e-09
43,4.3999999999999995,1.59954e-09
44,4.5,1.60387e-09
45,4.6,1.60804e-09
46,4.7,1.61198e-09
47,4.8,1.61576e-09
48,4.9,1.61939e-09
49,5.0,1.62293e-09
50,5.1,1.62635e-09
51,5.2,1.62955e-09
52,5.3,1.63265e-09
53,5.4,1.63564e-09
54,5.5,1.63851e-09
55,5.6,1.64138e-09
56,5.7,1.64403e-09
57,5.8,1.64664e-09
58,5.9,1.64913e-09
59,6.0,1.65156e-09
60,6.1,1.65388e-09
61,6.2,1.65615e-09
62,6.3,1.65832e-09
63,6.4,1.66046e-09
64,6.5,1.66257e-09
65,6.6,1.66456e-09
66,6.7,1.66651e-09
67,6.8,1.66841e-09
68,6.9,1.67021e-09
69,7.0,1.67199e-09
70,7.1,1.67372e-09
71,7.2,1.6754e-09
72,7.3,1.67703e-09
73,7.4,1.67868e-09
74,7.5,1.68023e-09
75,7.6,1.68173e-09
76,7.7,1.6832e-09
77,7.8,1.68463e-09
78,7.9,1.68602e-09
79,8.0,1.68739e-09
80,8.1,1.68873e-09
81,8.2,1.69007e-09
82,8.3,1.69133e-09
83,8.4,1.69255e-09
84,8.5,1.69376e-09
85,8.6,1.69494e-09
86,8.7,1.6961e-09
87,8.8,1.69724e-09
88,8.9,1.69835e-09
89,9.0,1.69942e-09
90,9.1,1.70051e-09
91,9.2,1.70155e-09
92,9.3,1.70258e-09
93,9.4,1.70355e-09
94,9.5,1.70452e-09
95,9.6,1.70548e-09
96,9.700000000000001,1.7064e-09
97,9.8,1.70734e-09
98,9.9,1.70823e-09
