,Input Frequency ,Output Capacitance (0.5 V)
0,0.1,7.58122e-10
1,0.2,7.59259e-10
2,0.30000000000000004,7.58581e-10
3,0.4,7.58815e-10
4,0.5,7.59071e-10
5,0.6,7.5947e-10
6,0.7000000000000001,7.60663e-10
7,0.8,7.62886e-10
8,0.9,7.74472e-10
9,1.0,8.09315e-10
10,1.1,8.86553e-10
11,1.2000000000000002,9.65755e-10
12,1.3000000000000003,1.04123e-09
13,1.4000000000000001,1.09975e-09
14,1.5000000000000002,1.15588e-09
15,1.6,1.2057e-09
16,1.7000000000000002,1.24826e-09
17,1.8000000000000003,1.28572e-09
18,1.9000000000000001,1.3187e-09
19,2.0,1.34772e-09
20,2.1,1.36545e-09
21,2.2,1.39296e-09
22,2.3000000000000003,1.40977e-09
23,2.4000000000000004,1.42785e-09
24,2.5000000000000004,1.44501e-09
25,2.6,1.45938e-09
26,2.7,1.47455e-09
27,2.8000000000000003,1.48734e-09
28,2.9000000000000004,1.499e-09
29,3.0000000000000004,1.5097e-09
30,3.1,1.51925e-09
31,3.2,1.52985e-09
32,3.3000000000000003,1.53597e-09
33,3.4000000000000004,1.53788e-09
34,3.5000000000000004,1.54233e-09
35,3.6,1.56388e-09
36,3.7,1.5741e-09
37,3.8000000000000003,1.57976e-09
38,3.9000000000000004,1.58302e-09
39,4.0,1.55955e-09
40,4.1,1.56268e-09
41,4.2,1.55818e-09
42,4.3,1.58295e-09
43,4.3999999999999995,1.59994e-09
44,4.5,1.59772e-09
45,4.6,1.59707e-09
46,4.7,1.60205e-09
47,4.8,1.60373e-09
48,4.9,1.61253e-09
49,5.0,1.61567e-09
50,5.1,1.63543e-09
51,5.2,1.64053e-09
52,5.3,1.6437e-09
53,5.4,1.64644e-09
54,5.5,1.64718e-09
55,5.6,1.64889e-09
56,5.7,1.6536e-09
57,5.8,1.6537e-09
58,5.9,1.65674e-09
59,6.0,1.63123e-09
60,6.1,1.64953e-09
61,6.2,1.65031e-09
62,6.3,1.65472e-09
63,6.4,1.67991e-09
64,6.5,1.68206e-09
65,6.6,1.68414e-09
66,6.7,1.68615e-09
67,6.8,1.6881e-09
68,6.9,1.69e-09
69,7.0,1.69184e-09
70,7.1,1.69362e-09
71,7.2,1.69541e-09
72,7.3,1.69709e-09
73,7.4,1.69875e-09
74,7.5,1.70036e-09
75,7.6,1.70192e-09
76,7.7,1.70343e-09
77,7.8,1.70492e-09
78,7.9,1.70638e-09
79,8.0,1.70783e-09
80,8.1,1.70921e-09
81,8.2,1.71057e-09
82,8.3,1.71188e-09
83,8.4,1.71316e-09
84,8.5,1.71441e-09
85,8.6,1.71564e-09
86,8.7,1.71685e-09
87,8.8,1.71802e-09
88,8.9,1.71921e-09
89,9.0,1.72034e-09
90,9.1,1.72144e-09
91,9.2,1.72252e-09
92,9.3,1.72356e-09
93,9.4,1.72459e-09
94,9.5,1.72561e-09
95,9.6,1.7266e-09
96,9.700000000000001,1.7276e-09
97,9.8,1.72857e-09
98,9.9,1.7295e-09
